Expectation,Awareness,Mental_activity
Arranging,Intentionally_affect,Transitive_action
Amassing,Getting,Getting_scenario
Imposing_obligation,Transitive_action,Objective_influence
Part_inner_outer,Part_whole,Part_piece
Gathering_up,Intentionally_affect,Transitive_action
Shoot_projectiles,Cause_motion,Transitive_action
Apply_heat,Intentionally_affect,Transitive_action
Shooting_scenario,Attempt_distant_interaction_scenario,Attempting_scenario
Surrendering_possession,Giving,Lose_possession
Ingestion,Manipulation,Intentionally_affect
Temporal_collocation,Trajector-Landmark,Relation
Cooking_creation,Intentionally_create,Intentionally_act
Resolve_problem,Intentionally_act,Event
Jury_deliberation,Trial,Criminal_process
Manipulate_into_doing,Intentionally_affect,Transitive_action
Cause_to_end,Transitive_action,Objective_influence
Bail_decision,Intentionally_act,Event
Cause_harm,Transitive_action,Objective_influence
Attack,Intentionally_affect,Transitive_action
Aiming,Manipulation,Intentionally_affect
In,Containment_relation_IS,Trajector-Landmark
Renting,Commerce_buy,Getting
Hunting,Hunting_scenario,Attempt_obtain_food_scenario
Trust,Certainty,Gradable_attributes
Becoming_a_member,Intentionally_act,Event
Practice,Intentionally_act,Event
Prison,Locale_by_use,Locale
Documents,Text,Artifact
Activity_ready_state,Process_initial_state,State
Removing,Transitive_action,Objective_influence
Inspecting,Scrutinizing_for,Scrutiny
Cause_expansion,Transitive_action,Objective_influence
Activity_resume,Process_resume,Process
Exchange_currency,Cause_change,Transitive_action
Intercepting,Intentionally_act,Event
Execution,Rewards_and_punishments,Intentionally_affect
Pre_giving,Pre_lose_possession,Possession
Buildings,Artifact,Entity
Adjusting,Intentionally_affect,Transitive_action
Weapon,Artifact,Entity
Morality_evaluation,Social_behavior_evaluation,Gradable_attributes
Translating,Intentionally_create,Intentionally_act
Trendiness,Social_behavior_evaluation,Gradable_attributes
Smuggling,Committing_crime,Misdeed
Cause_to_fragment,Transitive_action,Objective_influence
Containing,Locative_relation,Trajector-Landmark
Revenge,Rewards_and_punishments,Intentionally_affect
Causation,Eventive_affecting,Event
Observable_body_parts,Shaped_part,Part_whole
Cause_to_be_included,Transitive_action,Objective_influence
Replacing,Intentionally_affect,Transitive_action
Planting,Agriculture,Attempt_obtain_food_scenario
Evaluative_comparison,Position_on_a_scale,Gradable_attributes
Renting_out,Commerce_sell,Giving
Law,Artifact,Entity
Punctual_perception,Perception_experience,Perception
Membership,Be_subset_of,Being_included
Placing,Transitive_action,Objective_influence
Expected_location_of_person,Locative_relation,Trajector-Landmark
Cutting,Intentionally_affect,Transitive_action
Cause_bodily_experience,Transitive_action,Objective_influence
Roadways,Locale_by_use,Locale
Eventive_affecting,Event,Change_of_state_scenario
Hiring,Intentionally_affect,Transitive_action
Cause_to_be_sharp,Transitive_action,Objective_influence
Fastener,Artifact,Entity
Event_in_history,Socially_significant_history_scenario,History_scenario
Cause_change_of_strength,Transitive_action,Objective_influence
Commerce_collect,Getting,Getting_scenario
Visit_host_stay,Visitor_and_host,Visiting_scenario
Commerce_money-transfer,Transfer,Transfer_scenario
Cause_to_wake,Transitive_action,Objective_influence
Cause_change_of_consistency,Transitive_action,Objective_influence
Rope_manipulation,Manipulate_into_shape,Intentionally_affect
Preserving,Processing_materials,Intentionally_affect
Container_focused_removing,Transitive_action,Objective_influence
Emotions_by_possibility,Emotions_by_stimulus,Emotions
Working_on,Attempt,Attempting_scenario
Accuracy,Inclination,Gradable_attributes
Daring,Intentionally_act,Event
Reshaping,Damaging,Transitive_action
Predicament,State_of_entity,State
Passing,Cause_motion,Transitive_action
Besieging,Attack,Intentionally_affect
Arriving,Traversing,Motion
Activity_start,Process_start,Process
Building,Intentionally_create,Intentionally_act
Frugality,Social_behavior_evaluation,Gradable_attributes
Mental_property,Social_behavior_evaluation,Gradable_attributes
Pardon,Clemency,Intentionally_act
Judicial_body,Institutions,Organization
Temporary_stay,Visiting,Visitor_scenario
Shopping,Seeking,Seeking_to_achieve
Knot_creation,Intentionally_create,Intentionally_act
Part_whole,Part_piece,Being_included
Intentional_traversing,Traversing,Motion
Connectors,Artifact,Entity
Be_in_control,Control,Objective_influence
Containment_relation_IS,Trajector-Landmark,Relation
Setting_out,Travel,Self_motion
Expertise,Social_behavior_evaluation,Gradable_attributes
Cause_change,Transitive_action,Objective_influence
Social_interaction_evaluation,Social_behavior_evaluation,Gradable_attributes
Partiality,Social_interaction_evaluation,Social_behavior_evaluation
Surviving,Success_or_failure,Attempting_scenario
Experience_bodily_harm,Event,Change_of_state_scenario
Communication_manner,Communication,Cause_to_perceive
Manipulate_into_shape,Intentionally_affect,Transitive_action
Quarreling,Discussion,Reciprocality
Communication,Cause_to_perceive,Intentionally_affect
Cause_impact,Transitive_action,Objective_influence
Activity_pause,Process_pause,Process
Damaging,Transitive_action,Objective_influence
Reassuring,Communication,Cause_to_perceive
Activity_ongoing,Process_continue,Process
Change_resistance,Cause_change_of_strength,Transitive_action
Tasting,Trying_out,Research
Hospitality,Social_interaction_evaluation,Social_behavior_evaluation
Inhibit_movement,Intentionally_affect,Transitive_action
Grinding,Transitive_action,Objective_influence
Foreign_or_domestic_country,Political_locales,Locale_by_ownership
Time_vector,Trajector-Landmark,Relation
Extradition,Intentionally_affect,Transitive_action
Containment_relation,Locative_relation,Trajector-Landmark
Setting_fire,Transitive_action,Objective_influence
Confronting_problem,Intentionally_act,Event
Locative_relation,Trajector-Landmark,Relation
Creating,Transitive_action,Objective_influence
Accoutrements,Artifact,Entity
Cause_to_make_noise,Transitive_action,Objective_influence
Vehicle,Artifact,Entity
Diversity,Similarity,Reciprocality
Money,Artifact,Entity
Clothing,Artifact,Entity
Cotheme,Self_motion,Motion
Departing,Traversing,Motion
Fleeing,Self_motion,Motion
Quitting,Intentionally_act,Event
Sufficiency,Position_on_a_scale,Gradable_attributes
Location_of_light,Measurable_attributes,Gradable_attributes
Adorning,Locative_relation,Trajector-Landmark
Verdict,Trial,Criminal_process
Absorb_heat,Becoming,Event
Activity_stop,Process_stop,Process
Use_firearm,Using,Intentionally_affect
Hit_or_miss,Success_or_failure,Attempting_scenario
Preference,Desiring,Experiencer_focus
Duplication,Intentionally_create,Intentionally_act
Grooming,Intentionally_affect,Transitive_action
Commerce_buy,Getting,Getting_scenario
Create_physical_artwork,Intentionally_create,Intentionally_act
Part_ordered_segments,Part_whole,Part_piece
Agriculture,Attempt_obtain_food_scenario,Attempting_scenario
Activity_prepare,Activity,Process
Visit_host_arrival,Visitor_and_host,Visiting_scenario
Infrastructure,Artifact,Entity
Endangering,Transitive_action,Objective_influence
Reparation,Intentionally_affect,Transitive_action
Closure,Intentionally_affect,Transitive_action
Being_born,Cycle_of_life_and_death,Cycle_of_existence_scenario
Get_a_job,Intentionally_act,Event
Submitting_documents,Giving,Lose_possession
Go_into_shape,Event,Change_of_state_scenario
Goal,Trajector-Landmark,Relation
Committing_crime,Misdeed,Event
Rest,Part_whole,Part_piece
Abounding_with,Locative_relation,Trajector-Landmark
Body_mark,Physical_entity,Entity
Sound_level,Measurable_attributes,Gradable_attributes
Cause_motion,Transitive_action,Objective_influence
Commerce_pay,Giving,Lose_possession
Abusing,Committing_crime,Misdeed
Forming_relationships,Intentionally_act,Event
Change_event_time,Cause_change,Transitive_action
Rape,Intentionally_affect,Transitive_action
Intentionally_affect,Transitive_action,Objective_influence
Praiseworthiness,Social_behavior_evaluation,Gradable_attributes
Trying_out,Research,Scrutiny
Cure,Transitive_action,Objective_influence
Within_distance,Locative_relation,Trajector-Landmark
Operating_a_system,Using,Intentionally_affect
Disgraceful_situation,Social_behavior_evaluation,Gradable_attributes
Attempt_means,Attempt,Attempting_scenario
Execute_plan,Intentionally_act,Event
Trial,Criminal_process,Crime_scenario
Food,Physical_entity,Entity
Having_or_lacking_access,Capability,Possibility
Intentionally_act,Event,Change_of_state_scenario
Change_event_duration,Cause_change,Transitive_action
Forging,Duplication,Intentionally_create
Evading,Avoiding,Intentionally_act
Response,Eventive_affecting,Event
Fining,Rewards_and_punishments,Intentionally_affect
Entering_of_plea,Arraignment,Process
Piracy,Intentionally_act,Event
Emptying,Container_focused_removing,Transitive_action
Sentencing,Criminal_process,Crime_scenario
Releasing_from_custody,Releasing,Intentionally_affect
Cause_to_move_in_place,Transitive_action,Objective_influence
Cause_temperature_change,Transitive_action,Objective_influence
Silencing,Intentionally_affect,Transitive_action
Part_orientational,Part_whole,Part_piece
Stinginess,Social_interaction_evaluation,Social_behavior_evaluation
Body_decoration,Artifact,Entity
Passing_off,Intentionally_act,Event
Education_teaching,Intentionally_affect,Transitive_action
Filling,Container_focused_placing,Transitive_action
Run_risk,Likelihood,Gradable_attributes
Notification_of_charges,Arraignment,Process
Building_subparts,Buildings,Artifact
Cause_fluidic_motion,Cause_motion,Transitive_action
Performers,People_by_vocation,People
Birth,Event,Change_of_state_scenario
Escaping,Departing,Traversing
Soaking,Intentionally_affect,Transitive_action
Presence,Being_located,State
Others_situation_as_stimulus,Emotions_by_stimulus,Emotions
Killing,Transitive_action,Objective_influence
Hostile_encounter,Intentionally_act,Event
Just_found_out,Emotions_by_stimulus,Emotions
Intentionally_create,Intentionally_act,Event
Cause_proliferation_in_number,Cause_change_of_position_on_a_scale,Transitive_action
Ammunition,Artifact,Entity
Drop_in_on,Visitor_arrival,Visitor_scenario
Interrupt_process,Transitive_action,Objective_influence
Bounded_entity,Physical_entity,Entity
Capacity,Capability,Possibility
Rejuvenation,Transitive_action,Objective_influence
Commerce_sell,Giving,Lose_possession
Political_locales,Locale_by_ownership,Locale
Destroying,Transitive_action,Objective_influence
Text,Artifact,Entity
Be_in_agreement_on_assessment,Similarity,Reciprocality
Cause_to_experience,Intentionally_affect,Transitive_action
Health_response,Inclination,Gradable_attributes
Commerce_goods-transfer,Transfer,Transfer_scenario
Post_receiving,Receiving_scenario,Getting_scenario
Shaped_part,Part_whole,Part_piece
Activity_paused_state,Process_stopped_state,State
Into,Containment_relation_IS,Trajector-Landmark
Desirable_event,Desirability,Gradable_attributes
Arrest,Intentionally_affect,Transitive_action
Supply,Giving,Lose_possession
Fighting_activity,Hostile_encounter,Intentionally_act
Robbery,Committing_crime,Misdeed
Giving,Lose_possession,Lose_possession_scenario
Kidnapping,Getting,Getting_scenario
Theft,Taking,Intentionally_affect
Ingest_substance,Intentionally_act,Event
Post_giving,Post_lose_possession,Possession
Noise_makers,Artifact,Entity
Rashness,Social_behavior_evaluation,Gradable_attributes
Relational_political_locales,Political_locales,Locale_by_ownership
Rewards_and_punishments,Intentionally_affect,Transitive_action
Temperature,Measurable_attributes,Gradable_attributes
Speed,Measurable_attributes,Gradable_attributes
Corporal_punishment,Rewards_and_punishments,Intentionally_affect
Dodging,Avoiding,Intentionally_act
Rising_to_a_challenge,Meet_specifications,Satisfying
Hiding_objects,Intentionally_affect,Transitive_action
Active_substance,Substance,Physical_entity
Receiving,Receiving_scenario,Getting_scenario
Military,Organization,Aggregate
Fear,Emotions_by_possibility,Emotions_by_stimulus
Manufacturing,Intentionally_create,Intentionally_act
Ceasing_to_be,Event,Change_of_state_scenario
Surpassing,Position_on_a_scale,Gradable_attributes
Activity_abandoned_state,Process_uncompleted_state,State
Age,Measurable_attributes,Gradable_attributes
Medical_professionals,People_by_vocation,People
Annoyance,Emotions_by_stimulus,Emotions
Used_up,Position_on_a_scale,Gradable_attributes
Hunting_success_or_failure,Hunting_scenario,Attempt_obtain_food_scenario
Change_of_consistency,Event,Change_of_state_scenario
Posing_as,Passing_off,Intentionally_act
Scarcity,Abundance,Gradable_attributes
Cause_to_resume,Transitive_action,Objective_influence
Taking,Intentionally_affect,Transitive_action
Connecting_architecture,Architectural_part,Shaped_part
Cause_change_of_phase,Transitive_action,Objective_influence
Becoming,Event,Change_of_state_scenario
Grasp,Awareness,Mental_activity
Cause_to_amalgamate,Intentionally_affect,Transitive_action
Atonement,Intentionally_act,Event
Cause_to_rot,Transitive_action,Objective_influence
Unemployment_rate,Measurable_attributes,Gradable_attributes
Being_up_to_it,Capability,Possibility
