Scarcity.Degree,Abundance.Degree,Gradable_attributes.Degree
Use_firearm.Manner,Using.Manner,Intentionally_affect.Manner
Soaking.Theme,Intentionally_affect.Patient,Transitive_action.Patient
Compliance.Act,Satisfying.Event,Social_behavior_evaluation.Behavior,Gradable_attributes.Entity
Temporary_stay.Time,Residence.Time,Visiting.Time,Being_located.Time,Intentionally_act.Time,Visiting_scenario_stay.Time
Education_teaching.Time,Intentionally_affect.Time,Intentionally_act.Time,Transitive_action.Time
Process_resume.Process,Event.Event,Process.Process,Change_of_state_scenario.Event
Food_gathering.Gatherer,Agriculture.Agriculturist,Attempt_obtain_food_scenario.Seeker
Intentionally_create.Creator,Creating.Creator,Intentionally_act.Agent,Transitive_action.Agent
Quarreling.Depictive,Discussion.Depictive,Chatting.Depictive
Cause_motion.Time,Transitive_action.Time,Event.Time,Objective_influence.Time
Inspecting.Unwanted_entity,Scrutinizing_for.Phenomenon,Scrutiny.Phenomenon
Foreign_or_domestic_country.Name,Political_locales.Name,Locale_by_ownership.Name
Strictness.Agent,Social_interaction_evaluation.Evaluee,Social_behavior_evaluation.Individual
Locative_relation.Ground,Relation.Entity2,Trajector-Landmark.Landmark,Relation.Entity2
Attaching.Agent,Intentionally_affect.Agent,Intentionally_act.Agent,Transitive_action.Agent
Judicial_body.Task,Institutions.Purpose,Organization.Purpose
Emotions_of_mental_activity.Experiencer,Emotions_by_stimulus.Experiencer,Emotions.Experiencer
Attempt_means.Means,Attempt.Means,Attempting_scenario.Means
Summarizing.Communicator,Communication.Communicator,Cause_to_perceive.Agent
Using.Instrument,Intentionally_affect.Instrument,Intentionally_affect.Patient,Transitive_action.Patient
Intentionally_affect.Place,Intentionally_act.Place,Transitive_action.Place,Event.Place,Event.Place,Objective_influence.Place
Grasp.Time,Awareness.Time,Mental_activity.Time
Kidnapping.Means,Committing_crime.Means,Getting.Means,Misdeed.Means
Just_found_out.Parameter,Emotions_by_stimulus.Parameter,Emotions.Parameter
Hunting.Duration,Hunting_scenario.Duration,Attempt_obtain_food_scenario.Duration
Intentionally_act.Place,Event.Place,Change_of_state_scenario.Place
Visiting_scenario_departing.Speed,Departing.Speed,Traversing.Speed
Revenge.Instrument,Rewards_and_punishments.Instrument,Intentionally_affect.Instrument
Placing.Theme,Cause_motion.Theme,Transitive_action.Patient,Transitive_action.Patient,Objective_influence.Dependent_entity
Unemployment_rate.Time,Measurable_attributes.Time,Gradable_attributes.Time
Frugality.Degree,Social_behavior_evaluation.Degree,Gradable_attributes.Degree
Hunting_scenario.Place,Attempt_obtain_food_scenario.Place,Attempting_scenario.Place
Fear.Parameter,Emotions_by_possibility.Parameter,Emotions_by_stimulus.Parameter
Aiming.Agent,Attempt_distant_interaction_scenario.Agent,Manipulation.Agent,Attempting_scenario.Agent,Intentionally_affect.Agent
Renting_out.Goods,Commerce_sell.Goods,Giving.Theme
Used_up.Resource,Position_on_a_scale.Item,Gradable_attributes.Entity
Emotions_success_or_failure.State,Emotions_by_stimulus.State,Emotions.State
Bounded_entity.Type,Physical_entity.Type,Entity.Type
Get_a_job.Time,Intentionally_act.Time,Event.Time
Connectors.Connector,Artifact.Artifact,Entity.Entity
Rejuvenation.Manner,Transitive_action.Manner,Event.Manner,Objective_influence.Manner
Quarreling.Issue,Discussion.Topic,Chatting.Topic
Dispersal.Distance,Placing.Distance,Cause_motion.Distance
Gathering_up.Agent,Intentionally_affect.Agent,Intentionally_act.Agent,Transitive_action.Agent
Shopping.Outcome,Seeking.Outcome,Seeking_to_achieve.Outcome
Forging.Instrument,Duplication.Instrument,Intentionally_create.Instrument
Rising_to_a_challenge.Protagonist,Meet_specifications.Agent,Meet_specifications.Entity,Meet_specifications.Event,Satisfying.Agent,Satisfying.Entity,Satisfying.Event
Clothing.Style,Artifact.Type,Entity.Type
Activity_abandoned_state.Activity,Activity.Activity,Process_uncompleted_state.Process,Process.Process,State.Entity
Soaking.Means,Intentionally_affect.Means,Intentionally_act.Means,Transitive_action.Means
Political_locales.Name,Locale_by_ownership.Name,Locale.Name
Cure.Place,Transitive_action.Place,Event.Place,Objective_influence.Place
Commerce_pay.Time,Giving.Time,Intentionally_act.Time,Lose_possession.Time
Earnings_and_losses.Earner,Commerce_collect.Seller,Getting.Recipient
Quitting.Position,Employee's_scenario.Position,Employment_end.Position,Employment_scenario.Position
Visitor_arrival.Mode_of_transportation,Arriving.Mode_of_transportation,Visiting_scenario_arrival.Mode_of_transportation,Traversing.Vehicle,Arriving.Mode_of_transportation
Attempt_means.Goal,Attempt.Goal,Attempting_scenario.Goal
Capacity.Entity,Capability.Entity,Gradable_attributes.Entity
Scarcity.Circumstances,Abundance.Circumstances,Gradable_attributes.Circumstances
Dominate_competitor.Patient,Be_in_control.Dependent_entity,Control.Dependent_entity
Cause_to_wake.Place,Transitive_action.Place,Event.Place,Objective_influence.Place
Endangering.Place,Transitive_action.Place,Event.Place,Objective_influence.Place
Verdict.Means,Intentionally_act.Means,Ruling_legally.Means,Intentionally_act.Means
Cause_to_fragment.Agent,Transitive_action.Agent,Objective_influence.Influencing_entity
Architectural_part.Orientation,Shaped_part.Orientation,Part_whole.Orientation
Hunting_success_or_failure.Food,Hunting_scenario.Food,Attempt_obtain_food_scenario.Food
Filling.Agent,Container_focused_placing.Agent,Transitive_action.Agent
Container_focused_placing.Place,Transitive_action.Place,Event.Place,Objective_influence.Place
Collaboration.Manner,Intentionally_act.Manner,Event.Manner
Operating_a_system.Operator,Using.Agent,Intentionally_affect.Agent
Releasing.Theme,Intentionally_affect.Patient,Transitive_action.Patient
Replacing.Means,Intentionally_affect.Means,Intentionally_act.Means,Transitive_action.Means
Discussion.Interlocutor_2,Chatting.Interlocutor_2,Reciprocality.Protagonist_2,Reciprocality.Protagonist_2
Entering_of_plea.Charges,Arraignment.Charges,Criminal_process.Charges
Taking.Manner,Getting.Manner,Intentionally_affect.Manner,Event.Manner,Intentionally_act.Manner,Transitive_action.Manner
Cotheme.Manner,Self_motion.Manner,Intentionally_act.Manner,Motion.Manner
Corporal_punishment.Place,Cause_harm.Place,Rewards_and_punishments.Place,Cause_bodily_experience.Place,Transitive_action.Place,Intentionally_affect.Place
Process_resume.Time,Event.Time,Process.Time,Change_of_state_scenario.Time
Visit_host_arrival.Path,Visiting_scenario_arrival.Path,Arriving.Path
Aging.Time,Eventive_affecting.Time,Event.Time
Quitting_a_place.Depictive,Departing.Depictive,Intentional_traversing.Depictive,Self_motion.Depictive,Traversing.Depictive,Self_motion.Depictive,Traversing.Depictive,Motion.Depictive
Hit_target.Means,Intentionally_affect.Means,Intentionally_act.Means,Transitive_action.Means
Sign_agreement.Instrument,Text_creation.Instrument,Intentionally_create.Instrument
Just_found_out.Manner,Emotions_by_stimulus.Manner,Emotions.Manner
Hiring.Place,Intentionally_affect.Place,Intentionally_act.Place,Transitive_action.Place
Eventive_affecting.Reason,Event.Reason,Change_of_state_scenario.Reason
Gathering_up.Place,Intentionally_affect.Place,Intentionally_act.Place,Transitive_action.Place
Clothing.Name,Artifact.Name,Entity.Name
Interrupt_process.Cause,Transitive_action.Cause,Objective_influence.Influencing_situation
Operate_vehicle.Driver,Operating_a_system.Operator,Using.Agent
Communication.Communicator,Cause_to_perceive.Agent,Intentionally_affect.Agent
Historic_event.Event,Event_in_history.Event,Eventive_affecting.Event,Socially_significant_history_scenario.Event,Event.Event
Capacity.Circumstances,Capability.Circumstances,Gradable_attributes.Circumstances,Possibility.Circumstances
Fear.Stimulus,Emotions_by_possibility.Stimulus,Emotions_by_stimulus.Stimulus
Apply_heat.Manner,Activity.Manner,Intentionally_affect.Manner,Process.Manner,Intentionally_act.Manner,Transitive_action.Manner
Emotions_by_possibility.Parameter,Emotions_by_stimulus.Parameter,Emotions.Parameter
Travel.Area,Self_motion.Area,Intentionally_act.Place,Motion.Area
Gesture.Communicator,Communication.Communicator,Cause_to_perceive.Agent
Cause_to_move_in_place.Theme,Transitive_action.Patient,Objective_influence.Dependent_entity
Manipulation.Entity,Intentionally_affect.Patient,Transitive_action.Patient
Departing.Time,Eventive_affecting.Time,Traversing.Time,Event.Time,Motion.Time
Resolve_problem.Manner,Intentionally_act.Manner,Event.Manner
Setting_out.Path_shape,Quitting_a_place.Path_shape,Intentional_traversing.Path_shape
Cause_fluidic_motion.Place,Cause_motion.Place,Transitive_action.Place
Sound_level.Circumstances,Measurable_attributes.Circumstances,Gradable_attributes.Circumstances
Creating.Creator,Transitive_action.Agent,Objective_influence.Influencing_entity
Temporary_stay.Purpose,Visiting.Purpose,Intentionally_act.Purpose,Visiting_scenario_stay.Purpose,Visitor_scenario.Purpose
Amassing.Recipient,Getting.Recipient,Getting_scenario.Recipient
Giving.Place,Intentionally_act.Place,Lose_possession.Place,Event.Place,Eventive_affecting.Place
Activity_stop.Time,Process_stop.Time,Event.Time,Process.Time
Ingest_substance.Manner,Intentionally_act.Manner,Event.Manner
Grasp.Reference_point,Awareness.Paradigm,Mental_activity.Paradigm
